자치구,행정동,폭염빈도,폭염강도
도봉구,창4동,30,4.3
도봉구,창5동,36,4.5
도봉구,도봉1동,32,4.5
도봉구,도봉2동,32,4.2
노원구,월계1동,26,3.7
노원구,월계2동,27,4.0
노원구,월계3동,16,2.7
노원구,공릉2동,29,4.2
노원구,하계1동,26,3.5
노원구,하계2동,28,4.4
노원구,중계본동,33,3.7
노원구,중계1동,20,2.4
노원구,중계4동,27,4.0
노원구,상계1동,36,3.9
노원구,상계2동,35,4.7
노원구,상계5동,34,3.8
노원구,상계8동,19,2.8
노원구,상계9동,24,3.3
노원구,상계10동,28,3.5
노원구,상계3·4동,22,3.4
노원구,상계6·7동,25,3.7
노원구,중계2·3동,26,3.5
노원구,공릉1동,34,5.3
은평구,녹번동,28,4.2
은평구,불광1동,28,4.2
은평구,갈현1동,25,3.7
은평구,갈현2동,29,5.2
은평구,구산동,25,4.1
은평구,대조동,28,5.1
은평구,응암1동,23,4.0
은평구,응암2동,29,4.1
은평구,신사1동,23,4.0
은평구,신사2동,22,3.8
은평구,증산동,31,3.7
은평구,수색동,30,3.5
은평구,진관동,25,4.0
은평구,불광2동,37,4.3
은평구,응암3동,27,3.6
은평구,역촌동,34,4.4
서대문구,천연동,17,3.8
서대문구,홍제1동,21,3.9
서대문구,홍제2동,27,4.1
서대문구,홍제3동,41,5.3
서대문구,홍은1동,24,3.8
서대문구,홍은2동,33,3.3
서대문구,남가좌1동,23,3.6
서대문구,남가좌2동,36,4.6
서대문구,북가좌1동,22,4.1
서대문구,북가좌2동,26,3.8
서대문구,충현동,24,4.6
서대문구,북아현동,41,5.2
서대문구,신촌동,37,4.5
서대문구,연희동,19,3.5
마포구,용강동,36,4.4
마포구,대흥동,33,5.0
마포구,염리동,31,4.4
마포구,신수동,28,4.2
마포구,서교동,38,5.2
마포구,합정동,45,5.6
마포구,망원1동,41,5.2
마포구,망원2동,42,5.5
마포구,연남동,43,5.0
마포구,성산1동,42,5.2
마포구,성산2동,29,4.5
마포구,상암동,35,5.1
마포구,도화동,27,4.6
마포구,서강동,28,4.1
마포구,공덕동,39,5.2
마포구,아현동,28,4.4
양천구,목1동,30,4.5
양천구,목2동,35,3.9
양천구,목3동,25,4.2
양천구,목4동,31,4.4
양천구,목5동,30,4.3
양천구,신월1동,32,4.5
양천구,신월2동,32,4.6
양천구,신월3동,29,4.6
양천구,신월4동,28,4.8
양천구,신월5동,28,4.0
양천구,신월6동,17,3.0
양천구,신월7동,38,4.8
양천구,신정1동,29,4.5
양천구,신정2동,34,5.1
양천구,신정4동,54,5.4
양천구,신정3동,35,5.0
양천구,신정6동,25,4.2
양천구,신정7동,25,4.3
강서구,염창동,42,4.3
강서구,등촌1동,18,3.4
강서구,등촌2동,27,3.6
강서구,등촌3동,19,3.6
강서구,화곡본동,25,4.1
강서구,화곡2동,45,5.3
강서구,화곡3동,27,4.4
강서구,화곡4동,20,4.4
강서구,화곡6동,25,3.7
강서구,화곡8동,23,3.8
강서구,가양1동,31,4.7
강서구,가양2동,18,2.9
강서구,가양3동,25,3.5
강서구,발산1동,24,3.7
강서구,공항동,31,4.6
강서구,방화1동,28,4.8
강서구,방화2동,37,4.9
강서구,방화3동,30,5.1
강서구,화곡1동,32,4.3
강서구,우장산동,40,5.4
구로구,신도림동,31,4.7
구로구,구로1동,24,4.8
구로구,구로2동,36,4.7
구로구,구로3동,42,4.7
구로구,구로4동,38,4.8
구로구,구로5동,32,5.3
구로구,고척1동,23,3.5
구로구,고척2동,29,4.1
구로구,개봉2동,29,5.0
구로구,개봉3동,21,3.5
구로구,오류1동,29,4.2
구로구,오류2동,20,2.7
구로구,수궁동,21,3.8
구로구,가리봉동,27,4.0
구로구,개봉1동,30,3.8
구로구,항동,18,2.7
금천구,가산동,41,4.0
금천구,독산1동,36,4.3
금천구,독산2동,30,4.6
금천구,독산3동,21,4.8
금천구,독산4동,53,5.9
금천구,시흥1동,21,3.9
금천구,시흥2동,22,3.9
금천구,시흥3동,29,3.7
금천구,시흥4동,27,4.3
금천구,시흥5동,24,4.5
영등포구,여의동,25,4.7
영등포구,당산1동,40,5.2
영등포구,당산2동,47,5.4
영등포구,양평1동,30,4.6
영등포구,양평2동,25,4.9
영등포구,신길1동,24,4.2
영등포구,신길3동,26,4.2
영등포구,신길4동,16,4.2
영등포구,신길5동,31,4.4
영등포구,신길6동,22,3.7
영등포구,신길7동,33,5.5
영등포구,대림1동,24,4.2
영등포구,대림2동,30,5.4
영등포구,대림3동,25,4.2
영등포구,영등포본동,27,4.1
영등포구,영등포동,34,4.6
영등포구,도림동,23,4.5
영등포구,문래동,48,5.5
동작구,노량진2동,25,4.2
동작구,상도1동,55,7.1
동작구,상도2동,27,4.8
동작구,상도3동,24,5.1
동작구,상도4동,31,4.8
동작구,사당1동,30,3.6
동작구,사당3동,19,2.9
동작구,사당4동,30,4.6
동작구,사당5동,19,3.8
동작구,대방동,31,3.7
동작구,신대방1동,33,3.8
동작구,신대방2동,28,4.8
동작구,흑석동,28,3.9
동작구,노량진1동,25,4.7
동작구,사당2동,28,4.2
관악구,보라매동,38,5.3
관악구,청림동,27,3.9
관악구,행운동,22,4.5
관악구,낙성대동,28,4.6
관악구,중앙동,30,5.0
관악구,인헌동,24,3.9
관악구,남현동,27,4.1
관악구,서원동,23,4.1
관악구,신원동,35,5.5
관악구,서림동,34,4.7
관악구,신사동,28,5.0
관악구,신림동,42,5.5
관악구,난향동,20,3.6
관악구,조원동,36,5.1
관악구,대학동,40,5.7
관악구,은천동,39,5.4
관악구,성현동,23,3.9
관악구,청룡동,28,4.7
관악구,난곡동,25,4.8
관악구,삼성동,31,6.1
관악구,미성동,36,4.7
서초구,서초1동,22,2.8
서초구,서초2동,36,5.5
서초구,서초3동,29,4.2
서초구,서초4동,28,4.0
서초구,잠원동,17,2.8
서초구,반포본동,36,3.9
서초구,반포1동,27,3.3
서초구,반포2동,28,4.1
서초구,반포3동,34,4.4
서초구,반포4동,28,3.8
서초구,방배본동,34,5.5
서초구,방배1동,27,3.4
서초구,방배2동,32,5.4
서초구,방배3동,31,4.8
서초구,방배4동,34,5.5
서초구,양재1동,36,5.3
서초구,양재2동,33,4.1
서초구,내곡동,20,3.3
강남구,신사동,28,5.0
강남구,개포3동,4,1.7
강남구,논현1동,24,3.8
강남구,논현2동,31,3.8
강남구,삼성1동,23,2.7
강남구,삼성2동,16,4.2
강남구,대치1동,24,3.9
강남구,대치2동,14,1.8
강남구,대치4동,25,4.0
강남구,역삼1동,23,3.6
강남구,역삼2동,32,4.0
강남구,도곡1동,25,3.6
강남구,도곡2동,20,2.6
강남구,개포1동,22,3.1
강남구,개포2동,27,3.8
강남구,개포4동,35,4.7
강남구,일원본동,23,3.3
강남구,일원1동,32,3.9
강남구,수서동,19,3.2
강남구,세곡동,26,3.1
강남구,압구정동,22,2.9
강남구,청담동,24,3.7
송파구,풍납1동,23,3.5
송파구,풍납2동,34,3.7
송파구,거여1동,39,4.7
송파구,거여2동,27,3.8
송파구,마천1동,36,4.8
송파구,마천2동,33,4.3
송파구,방이1동,27,3.9
송파구,방이2동,33,4.3
송파구,오륜동,26,3.8
송파구,오금동,22,4.0
송파구,송파1동,25,3.0
송파구,송파2동,26,3.5
송파구,석촌동,34,4.8
송파구,삼전동,33,3.9
송파구,가락본동,26,2.9
송파구,가락1동,33,4.8
송파구,가락2동,31,4.6
송파구,문정1동,30,3.5
송파구,문정2동,24,3.0
송파구,장지동,29,3.4
송파구,위례동,26,4.1
송파구,잠실본동,33,3.9
송파구,잠실2동,26,4.2
송파구,잠실3동,24,4.0
송파구,잠실4동,23,3.8
송파구,잠실6동,28,4.1
송파구,잠실7동,15,1.7
강동구,명일1동,29,3.4
강동구,명일2동,16,3.2
강동구,고덕1동,37,4.3
강동구,고덕2동,42,4.6
강동구,암사1동,33,4.6
강동구,암사2동,36,5.0
강동구,암사3동,12,2.5
강동구,천호1동,48,5.5
강동구,천호2동,57,6.6
강동구,천호3동,31,4.5
강동구,성내1동,43,5.1
강동구,성내2동,44,4.3
강동구,성내3동,32,4.5
강동구,길동,37,5.3
강동구,둔촌1동,21,3.1
강동구,둔촌2동,54,5.0
강동구,강일동,38,4.4
강동구,상일1동,6,1.3
강동구,상일2동,29,4.2
